A_RowId,CATEGORY,FULL_URL,HOST,URI,TARGET
-35767722,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|politicalscience|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|POLITICALSCIENCE,POLITICS
1982877336,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|psychology|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|PSYCHOLOGY,PSYCHOLOGY
567389462,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|publicadministration|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|PUBLICADMINISTRATION,POLITICS
1452909628,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|religionandpubliclife|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|RELIGIONANDPUBLICLIFE,RELIGION
1173306573,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|socialwork|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|SOCIALWORK,SOCIAL WORK
-1750345357,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|sociology|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|SOCIOLOGY,SOCIOLOGY
-1768744170,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|sustainableenergy|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|SUSTAINABLEENERGY,ENVIRONMENT
-1285174845,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|technologyinnovationmanagement|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|TECHNOLOGYINNOVATIONMANAGEMENT,MANAGEMENT
-1670596013,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|womensandgenderstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|WOMENSANDGENDERSTUDIES,GENDER STUDIES
-2020121263,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|africanstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|AFRICANSTUDIES,AFRICANSTUDIES
-952785040,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|anthropology,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ANTHROPOLOGY,ANTHROPOLOGY
-289492020,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|archaeology,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ARCHAEOLOGY,ARCHAEOLOGY
346642152,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|architecturalstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ARCHITECTURALSTUDIES,ARCHITECTURE
1042706607,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|arthistory,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ARTHISTORY,ARTHISTORY
376473850,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|biochemistry,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BIOCHEMISTRY,BIOCHEMISTRY
1730301855,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|biology,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BIOLOGY,BIOLOGY
1673426806,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|biotechnology,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BIOTECHNOLOGY,BIOTECHNOLOGY
-23393506,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|business,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BUSINESS,BUSINESS
-23393506,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|business|#BIB,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BUSINESS,BUSINESS
-23393506,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|business|#Post_Baccalaureate_Diploma_in_Accounting,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|BUSINESS,BUSINESS
817946662,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|canadianstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|CANADIANSTUDIES,CANADIANSTUDIES
